iter	MultiClass
0	1.449674329
1	1.333344687
2	1.2377012
3	1.163224593
4	1.100316431
5	1.047497394
6	1.000176752
7	0.9590301969
8	0.9241961902
9	0.8926785468
10	0.8635973422
11	0.8382503002
12	0.8162280546
13	0.796498822
14	0.7778104324
15	0.7620062914
16	0.7465249941
17	0.7324984208
18	0.7190313886
19	0.7070901299
20	0.69598936
21	0.6856069937
22	0.6764846954
23	0.6678802548
24	0.6601064634
25	0.6528774856
26	0.6467823367
27	0.6399025622
28	0.6341971959
29	0.6284952811
30	0.6230793659
31	0.6182581594
32	0.6131953557
33	0.608832604
34	0.6038773557
35	0.6001765492
36	0.5962166939
37	0.592990905
38	0.589254071
39	0.5858006041
40	0.5831281374
41	0.5794983582
42	0.575899327
43	0.5735365206
44	0.5708455679
45	0.5685971584
46	0.5664018563
47	0.5640043553
48	0.5615777655
49	0.5586354973
50	0.5566865565
51	0.5543454496
52	0.5525599062
53	0.5505220255
54	0.5490923895
55	0.5462694928
56	0.5447103637
57	0.54294424
58	0.5411226986
59	0.5390075376
60	0.537501451
61	0.5354872765
62	0.5338217517
63	0.5322112626
64	0.531190834
65	0.5296692608
66	0.5279139321
67	0.5262191691
68	0.5251044007
69	0.5235574115
70	0.5212346961
71	0.519485389
72	0.5178973229
73	0.5167085001
74	0.5151705126
75	0.5138255651
76	0.5126831346
77	0.5115770139
78	0.510471501
79	0.5092424978
80	0.5076408215
81	0.5062682484
82	0.5051155274
83	0.5043800149
84	0.5033911404
85	0.5025490098
86	0.5015972222
87	0.5004380362
88	0.4995791155
89	0.4989503922
90	0.4975927548
91	0.4966148403
92	0.4952823035
93	0.4942983637
94	0.4932997786
95	0.4921038921
96	0.4910297192
97	0.4902383695
98	0.489294203
99	0.4877663798
100	0.4868395751
101	0.4858253372
102	0.4848310292
103	0.4844079363
104	0.4833759004
105	0.4827303716
106	0.4815570267
107	0.4806786476
108	0.4801223955
109	0.4793490626
110	0.4787062372
111	0.4779471024
112	0.4772555624
113	0.4765664082
114	0.4757493512
115	0.474991772
116	0.4740059783
117	0.4732109803
118	0.4726264612
119	0.4720935602
120	0.4717317577
121	0.470687021
122	0.4697617459
123	0.4690636568
124	0.468533914
125	0.4675919028
126	0.466695138
127	0.4658348007
128	0.4653766386
129	0.4644503206
130	0.4635011609
131	0.4626351452
132	0.4619408575
133	0.4613746538
134	0.4605470834
135	0.4596762505
136	0.4589408093
137	0.4584717293
138	0.457795358
139	0.4571678566
140	0.4564681645
141	0.4559681733
142	0.4556316179
143	0.4550198478
144	0.4544603813
145	0.4536187812
146	0.4531608979
147	0.4523886145
148	0.451421096
149	0.4508670397
150	0.4503533209
151	0.4498583581
152	0.4495129705
153	0.4491144158
154	0.448706837
155	0.4479458237
156	0.4474589563
157	0.447117179
158	0.4463911626
159	0.445791056
160	0.444916799
161	0.4445164785
162	0.4438546446
163	0.443214253
164	0.4426047777
165	0.4423402334
166	0.4418094858
167	0.4414864139
168	0.4411239262
169	0.4404215469
170	0.4399904395
171	0.4395880074
172	0.4391993537
173	0.4386133864
174	0.4380728652
175	0.437557584
176	0.4371931266
177	0.4367995882
178	0.4363057894
179	0.435981833
180	0.4355929976
181	0.4350878158
182	0.4343346175
183	0.4337655835
184	0.4331967863
185	0.4326465416
186	0.4322090138
187	0.4319272616
188	0.4314895909
189	0.4310006858
190	0.4306033068
191	0.4302520482
192	0.4297601305
193	0.4295111404
194	0.4291778058
195	0.4288257015
196	0.4284532996
197	0.4282163121
198	0.4278701995
199	0.427500741
200	0.427052533
201	0.426569664
202	0.426072499
203	0.4257749314
204	0.4253515031
205	0.4248685413
206	0.4244074811
207	0.4240812564
208	0.423686741
209	0.4234776096
210	0.4232210741
211	0.4227954965
212	0.4226178662
213	0.4222087669
214	0.4218021451
215	0.4212042238
216	0.4210058181
217	0.4204702923
218	0.4200500132
219	0.4196880902
220	0.4193058461
221	0.4189718216
222	0.4186800215
223	0.4183949031
224	0.4178722988
225	0.4175431039
226	0.4170986716
227	0.4168923747
228	0.4162956481
229	0.4160310501
230	0.4156418505
231	0.41504334
232	0.4147657852
233	0.414505704
234	0.4140108029
235	0.4135915016
236	0.4132057517
237	0.4129756589
238	0.4127659227
239	0.4124941323
240	0.4122839412
241	0.4117002926
242	0.4113068883
243	0.4109694208
244	0.4106265092
245	0.4101287221
246	0.409782182
247	0.4094431328
248	0.4093005196
249	0.408826699
250	0.408561191
251	0.4081035133
252	0.4078855178
253	0.4072518128
254	0.4067161596
255	0.4064339125
256	0.4059666955
257	0.4057486149
258	0.4054853766
259	0.4052758832
260	0.4047897702
261	0.4044915733
262	0.4041277592
263	0.4037115217
264	0.4034078838
265	0.4031437445
266	0.4026139007
267	0.4023788725
268	0.4019491157
269	0.4016469152
270	0.401084634
271	0.4007708421
272	0.4004224669
273	0.4000424246
274	0.3997766073
275	0.399503285
276	0.3991222805
277	0.3986873013
278	0.398337638
279	0.3980604266
280	0.3977324075
281	0.3975504525
282	0.3972901476
283	0.39711784
284	0.3969981602
285	0.396572589
286	0.3963937626
287	0.3962700421
288	0.3960896348
289	0.3958347528
290	0.3953070754
291	0.3949102708
292	0.3945796556
293	0.3941599628
294	0.393787728
295	0.3933989481
296	0.3929617843
297	0.3926122817
298	0.3923488779
299	0.392067505
300	0.3916693949
301	0.3911838473
302	0.3908660283
303	0.3905137982
304	0.3901543521
305	0.3898504646
306	0.3896128354
307	0.3893966846
308	0.3889747066
309	0.3887439809
310	0.388515141
311	0.38828949
312	0.387789048
313	0.3874477554
314	0.3871652779
315	0.3866978682
316	0.38647101
317	0.3862228116
318	0.386002227
319	0.3857922958
320	0.3855282669
321	0.38522272
322	0.3847962509
323	0.3846002125
324	0.3842901095
325	0.3837443516
326	0.3833876995
327	0.3831678515
328	0.3828718674
329	0.3824174339
330	0.38214801
331	0.3820428193
332	0.381682036
333	0.3814507241
334	0.3811970816
335	0.3808983487
336	0.3806558431
337	0.3804699041
338	0.3801936016
339	0.3797399216
340	0.3795145534
341	0.3792735094
342	0.3790468786
343	0.3787979766
344	0.3784391678
345	0.3781245141
346	0.3777822457
347	0.3775493617
348	0.3773150631
349	0.3771100295
350	0.3767161322
351	0.376511397
352	0.3762356092
353	0.375824749
354	0.3755506719
355	0.3754062889
356	0.3751675129
357	0.3749495223
358	0.3747792082
359	0.3746383856
360	0.3744343859
361	0.3739622088
362	0.373710205
363	0.37344509
364	0.3732753403
365	0.3730716499
366	0.3728108508
367	0.3726302808
368	0.3723249509
369	0.3720026735
370	0.3717154905
371	0.3714292911
372	0.3711255697
373	0.3708638949
374	0.3705039095
375	0.3703656908
376	0.3700691524
377	0.3699000562
378	0.3695837419
379	0.3694590144
380	0.3692201069
381	0.3689068065
382	0.3687420918
383	0.3684816197
384	0.3682326474
385	0.3679344676
386	0.3677076724
387	0.3675692106
388	0.3672752217
389	0.3671322596
390	0.3669464514
391	0.3666637588
392	0.3664426459
393	0.3662563773
394	0.3659637921
395	0.3655615201
396	0.3653988239
397	0.3652036431
398	0.3650876811
399	0.364924722
400	0.3647064833
401	0.3645790581
402	0.3643679749
403	0.364027499
404	0.3637582303
405	0.3635286432
406	0.3633718516
407	0.3631411521
408	0.3629216669
409	0.362572417
410	0.3624571945
411	0.3620702604
412	0.3618935617
413	0.3617955315
414	0.3615087424
415	0.3613565458
416	0.3612343691
417	0.3610657307
418	0.3608206211
419	0.3605977586
420	0.3602040367
421	0.3600092101
422	0.3598215411
423	0.3594734475
424	0.3592578621
425	0.3590800458
426	0.3587773288
427	0.3585771295
428	0.3583237508
429	0.3582098545
430	0.3580603527
431	0.3578714271
432	0.3576904212
433	0.3575101193
434	0.3572688823
435	0.3570702494
436	0.3569616042
437	0.3567806201
438	0.3567178764
439	0.3565327147
440	0.3562781872
441	0.3561522124
442	0.3559149741
443	0.3556875994
444	0.3554722111
445	0.355174293
446	0.3549939846
447	0.3548360459
448	0.3546781055
449	0.3544205805
450	0.354226307
451	0.3539861329
452	0.3538471214
453	0.3535167645
454	0.3533270572
455	0.3531277844
456	0.3529574288
457	0.3526647159
458	0.3524409687
459	0.352092852
460	0.3519654583
461	0.3517950847
462	0.3514376607
463	0.3512478853
464	0.3510435563
465	0.3506932147
466	0.3505620538
467	0.3503574497
468	0.3501615169
469	0.3500107529
470	0.3496671156
471	0.3494926909
472	0.349382792
473	0.3491138886
474	0.3488031182
475	0.3485528464
476	0.348247308
477	0.3481006601
478	0.3477326136
479	0.3474919966
480	0.3474100745
481	0.3471927342
482	0.3469622708
483	0.3466379733
484	0.3464120972
485	0.3463096721
486	0.3459742862
487	0.3457290354
488	0.3455915321
489	0.3453851816
490	0.3451356936
491	0.3449953103
492	0.3448973911
493	0.3447668308
494	0.3447020692
495	0.3444441452
496	0.3443060931
497	0.3441708805
498	0.3439749037
499	0.3438880293
500	0.343766874
501	0.3436084897
502	0.3434727638
503	0.3432258772
504	0.343087713
505	0.3429307174
506	0.3426303131
507	0.342506488
508	0.3423469197
509	0.3422451067
510	0.341971269
511	0.3416175905
512	0.341481099
513	0.3413832302
514	0.3411971752
515	0.3409995059
516	0.3407670933
517	0.340484215
518	0.3403274164
519	0.3401836452
520	0.3399787746
521	0.3397055757
522	0.3395299996
523	0.3392884565
524	0.3391628227
525	0.338950916
526	0.3387324179
527	0.3386280097
528	0.3385013944
529	0.3382717211
530	0.3380373291
531	0.3378253645
532	0.3376385101
533	0.337459577
534	0.3373328652
535	0.3370906402
536	0.3367166966
537	0.3364215855
538	0.33626866
539	0.3360028049
540	0.3358396364
541	0.3356534382
542	0.3354165594
543	0.3352429962
544	0.3350387214
545	0.3347426101
546	0.3345265841
547	0.3343928452
548	0.334200015
549	0.3340429437
550	0.3337916488
551	0.3335682381
552	0.3333819941
553	0.3332441628
554	0.3331079066
555	0.3327936276
556	0.3326233346
557	0.3325620136
558	0.3323277116
559	0.332186565
560	0.3320343002
561	0.3319523306
562	0.3317505177
563	0.3316428747
564	0.3314573259
565	0.3313250629
566	0.3311497798
567	0.3309871056
568	0.3309368099
569	0.3307399986
570	0.330565029
571	0.3303897961
572	0.3302242123
573	0.3300975508
574	0.3299599847
575	0.3297640392
576	0.3296069977
577	0.3294599968
578	0.329274776
579	0.3291468248
580	0.3290167939
581	0.3289096835
582	0.3287317817
583	0.3284591171
584	0.3281694144
585	0.3280026065
586	0.3278849652
587	0.3277977671
588	0.3275777259
589	0.3274549336
590	0.3272577534
591	0.3269811411
592	0.3267574445
593	0.3266393502
594	0.3265390523
595	0.3264188233
596	0.3262326235
597	0.3259243426
598	0.3258456442
599	0.3257225956
600	0.325582713
601	0.3253652406
602	0.3252136789
603	0.3249682496
604	0.3247884648
605	0.324630395
606	0.3245138584
607	0.3243737559
608	0.324096023
609	0.3239240308
610	0.3236576888
611	0.3234353616
612	0.323258609
613	0.3229946494
614	0.3228892713
615	0.3227571945
616	0.3225768517
617	0.3224152236
618	0.3222566421
619	0.3221806966
620	0.3220329322
621	0.3217249767
622	0.3216341423
623	0.3215143288
624	0.3214098034
625	0.3212443202
626	0.3210845092
627	0.3208899897
628	0.3207846736
629	0.3205059076
630	0.320429817
631	0.3202816542
632	0.3201743664
633	0.3199777518
634	0.3198215886
635	0.3197065086
636	0.3195492108
637	0.3194270868
638	0.3193300499
639	0.3192059963
640	0.3189870563
641	0.3188676815
642	0.3186159048
643	0.3184284382
644	0.3183130176
645	0.3181421265
646	0.3180100143
647	0.3178395441
648	0.3175890527
649	0.317430048
650	0.317350655
651	0.3171560508
652	0.3170774771
653	0.3169900199
654	0.316658348
655	0.3165332087
656	0.3163839982
657	0.3162553762
658	0.3159762759
659	0.3158231292
660	0.3155606768
661	0.3154262794
662	0.3152916649
663	0.3151501115
664	0.3150503761
665	0.3149131549
666	0.3146906169
667	0.3145899675
668	0.3144882374
669	0.3142944787
670	0.3141799499
671	0.3140703753
672	0.3138926635
673	0.3137878812
674	0.3136678404
675	0.3136310848
676	0.3134602995
