iter	Passed	Remaining
0	69	69660
1	78	39061
2	87	28926
3	95	23790
4	104	20779
5	113	18785
6	122	17330
7	131	16296
8	139	15370
9	148	14696
10	156	14085
11	165	13648
12	174	13246
13	183	12922
14	191	12603
15	200	12331
16	209	12107
17	218	11904
18	226	11712
19	235	11539
20	244	11393
21	252	11224
22	260	11079
23	269	10965
24	278	10852
25	286	10744
26	295	10658
27	304	10554
28	312	10466
29	320	10365
30	328	10276
31	336	10189
32	345	10127
33	353	10046
34	362	9983
35	370	9920
36	380	9897
37	388	9831
38	396	9781
39	405	9735
40	414	9698
41	423	9657
42	431	9612
43	440	9563
44	449	9529
45	457	9480
46	465	9438
47	473	9391
48	482	9361
49	491	9336
50	499	9298
51	508	9276
52	517	9242
53	525	9198
54	533	9161
55	542	9139
56	550	9108
57	559	9081
58	567	9049
59	575	9022
60	583	8989
61	592	8965
62	600	8932
63	609	8911
64	617	8877
65	625	8855
66	634	8830
67	642	8812
68	651	8789
69	660	8773
70	668	8753
71	677	8731
72	686	8717
73	698	8741
74	707	8729
75	716	8709
76	724	8686
77	732	8656
78	740	8636
79	749	8617
80	758	8609
81	767	8587
82	776	8582
83	785	8563
84	793	8544
85	801	8522
86	810	8503
87	819	8487
88	827	8466
89	835	8448
90	843	8430
91	852	8416
92	861	8398
93	869	8383
94	878	8365
95	886	8351
96	895	8333
97	903	8317
98	911	8297
99	921	8294
100	929	8274
101	938	8258
102	946	8243
103	955	8227
104	963	8210
105	971	8192
106	979	8174
107	987	8158
108	995	8139
109	1004	8128
110	1012	8109
111	1020	8094
112	1030	8092
113	1039	8080
114	1048	8068
115	1056	8053
116	1065	8039
117	1073	8022
118	1081	8008
119	1089	7989
120	1097	7969
121	1106	7960
122	1114	7943
123	1122	7929
124	1130	7912
125	1139	7901
126	1147	7887
127	1156	7875
128	1164	7861
129	1172	7849
130	1181	7836
131	1189	7823
132	1198	7810
133	1206	7795
134	1214	7780
135	1222	7767
136	1231	7754
137	1239	7741
138	1247	7729
139	1255	7714
140	1264	7701
141	1272	7686
142	1279	7669
143	1287	7654
144	1296	7645
145	1304	7632
146	1313	7619
147	1321	7606
148	1329	7594
149	1337	7579
150	1346	7568
151	1354	7554
152	1361	7539
153	1369	7523
154	1377	7509
155	1386	7502
156	1394	7490
157	1402	7474
158	1410	7461
159	1419	7451
160	1427	7440
161	1435	7426
162	1444	7415
163	1452	7403
164	1460	7391
165	1468	7376
166	1476	7366
167	1484	7352
168	1492	7339
169	1501	7330
170	1509	7317
171	1517	7305
172	1526	7298
173	1535	7287
174	1543	7275
175	1551	7265
176	1559	7251
177	1567	7238
178	1576	7228
179	1584	7216
180	1591	7202
181	1599	7190
182	1608	7180
183	1616	7170
184	1625	7160
185	1633	7150
186	1642	7140
187	1650	7128
188	1658	7117
189	1666	7104
190	1674	7094
191	1682	7081
192	1690	7068
193	1698	7058
194	1706	7046
195	1715	7036
196	1723	7025
197	1731	7011
198	1738	6998
199	1746	6986
200	1755	6976
201	1763	6966
202	1771	6954
203	1779	6944
204	1788	6934
205	1796	6923
206	1804	6912
207	1812	6900
208	1819	6887
209	1827	6875
210	1835	6863
211	1843	6852
212	1850	6838
213	1859	6827
214	1867	6817
215	1875	6807
216	1882	6794
217	1891	6783
218	1899	6775
219	1908	6765
220	1916	6754
221	1924	6744
222	1932	6732
223	1941	6724
224	1949	6714
225	1957	6704
226	1965	6694
227	1973	6681
228	1982	6673
229	1989	6660
230	1998	6651
231	2006	6643
232	2014	6632
233	2022	6621
234	2030	6611
235	2039	6603
236	2047	6592
237	2055	6581
238	2063	6571
239	2071	6561
240	2079	6549
241	2088	6540
242	2096	6531
243	2104	6521
244	2112	6511
245	2121	6502
246	2129	6492
247	2138	6483
248	2145	6471
249	2154	6462
250	2161	6451
251	2169	6440
252	2177	6428
253	2185	6419
254	2193	6409
255	2201	6398
256	2209	6388
257	2217	6378
258	2226	6369
259	2234	6359
260	2244	6356
261	2252	6345
262	2260	6335
263	2270	6329
264	2278	6319
265	2286	6309
266	2295	6300
267	2303	6290
268	2311	6280
269	2319	6270
270	2327	6261
271	2335	6250
272	2343	6240
273	2351	6230
274	2359	6219
275	2367	6211
276	2376	6201
277	2384	6193
278	2392	6184
279	2401	6174
280	2409	6166
281	2418	6158
282	2426	6148
283	2436	6141
284	2443	6131
285	2453	6124
286	2460	6113
287	2469	6104
288	2476	6093
289	2485	6085
290	2494	6076
291	2503	6069
292	2511	6060
293	2520	6052
294	2529	6045
295	2538	6036
296	2547	6030
297	2558	6027
298	2570	6026
299	2582	6025
300	2593	6022
301	2604	6018
302	2615	6015
303	2624	6009
304	2635	6006
305	2646	6002
306	2657	5999
307	2667	5994
308	2679	5993
309	2690	5988
310	2704	5990
311	2711	5979
312	2720	5970
313	2728	5961
314	2737	5951
315	2745	5942
316	2753	5932
317	2761	5922
318	2769	5912
319	2777	5902
320	2785	5893
321	2794	5884
322	2807	5884
323	2815	5874
324	2824	5865
325	2832	5857
326	2841	5847
327	2849	5838
328	2857	5828
329	2866	5819
330	2874	5810
331	2882	5799
332	2890	5789
333	2898	5779
334	2905	5768
335	2914	5759
336	2922	5749
337	2930	5740
338	2939	5731
339	2948	5723
340	2956	5713
341	2964	5704
342	2973	5694
343	2980	5684
344	2989	5674
345	2997	5665
346	3005	5656
347	3014	5647
348	3022	5637
349	3030	5628
350	3038	5618
351	3046	5608
352	3054	5599
353	3063	5591
354	3071	5580
355	3079	5570
356	3088	5563
357	3096	5553
358	3104	5543
359	3113	5534
360	3121	5524
361	3129	5515
362	3137	5505
363	3145	5495
364	3152	5485
365	3161	5476
366	3169	5466
367	3177	5456
368	3185	5446
369	3193	5437
370	3201	5428
371	3210	5419
372	3218	5410
373	3226	5400
374	3234	5391
375	3242	5381
376	3250	5372
377	3259	5362
378	3268	5356
379	3278	5349
380	3289	5343
381	3299	5337
382	3308	5330
383	3318	5323
384	3328	5316
385	3339	5311
386	3349	5305
387	3359	5299
388	3369	5292
389	3379	5285
390	3389	5279
391	3400	5274
392	3410	5268
393	3418	5257
394	3426	5247
395	3435	5239
396	3443	5229
397	3451	5220
398	3459	5210
399	3467	5201
400	3475	5191
401	3483	5181
402	3491	5172
403	3499	5162
404	3507	5152
405	3515	5142
406	3523	5133
407	3531	5123
408	3539	5114
409	3547	5105
410	3556	5097
411	3565	5089
412	3574	5080
413	3582	5071
414	3591	5062
415	3600	5053
416	3607	5043
417	3615	5034
418	3623	5025
419	3632	5016
420	3641	5007
421	3649	4998
422	3657	4989
423	3666	4981
424	3674	4971
425	3682	4962
426	3691	4953
427	3699	4944
428	3707	4935
429	3715	4924
430	3723	4915
431	3731	4906
432	3739	4896
433	3747	4887
434	3755	4878
435	3765	4870
436	3779	4869
437	3793	4867
438	3802	4858
439	3812	4852
440	3820	4842
441	3828	4832
442	3835	4823
443	3844	4813
444	3852	4804
445	3862	4798
446	3870	4788
447	3878	4778
448	3885	4768
449	3894	4759
450	3902	4750
451	3910	4740
452	3918	4731
453	3928	4723
454	3936	4715
455	3945	4706
456	3952	4696
457	3961	4687
458	3969	4678
459	3978	4670
460	3986	4661
461	3994	4651
462	4002	4642
463	4010	4633
464	4018	4623
465	4027	4614
466	4035	4605
467	4043	4596
468	4051	4587
469	4059	4578
470	4068	4569
471	4077	4560
472	4084	4551
473	4092	4541
474	4101	4533
475	4109	4524
476	4118	4515
477	4126	4506
478	4135	4497
479	4143	4488
480	4150	4478
481	4159	4469
482	4167	4460
483	4176	4452
484	4184	4443
485	4192	4434
486	4201	4425
487	4209	4416
488	4218	4408
489	4226	4398
490	4234	4389
491	4242	4380
492	4250	4371
493	4258	4362
494	4266	4352
495	4275	4344
496	4283	4334
497	4291	4325
498	4299	4316
499	4311	4311
500	4319	4301
501	4327	4292
502	4334	4283
503	4342	4273
504	4350	4264
505	4358	4255
506	4366	4245
507	4374	4237
508	4383	4228
509	4392	4219
510	4400	4211
511	4408	4202
512	4416	4193
513	4424	4183
514	4432	4174
515	4440	4165
516	4449	4156
517	4457	4147
518	4465	4138
519	4474	4130
520	4482	4121
521	4490	4112
522	4499	4103
523	4507	4094
524	4516	4086
525	4524	4077
526	4532	4068
527	4540	4059
528	4548	4050
529	4558	4042
530	4566	4032
531	4574	4024
532	4583	4015
533	4590	4006
534	4598	3997
535	4606	3988
536	4615	3979
537	4624	3971
